ExpenseID,Date,Department,Category,Amount,Description
EXP100112,08/01/2025,IT,Utilities,14045.5,Utility service cost
EXP100113,08/01/2025,Sales,Salaries,80368.4,Bonus disbursement
EXP100114,08/01/2025,Finance,Consulting,26833.1,Advisory service payment
EXP100115,08/01/2025,Sales,Office Supplies,7033.6,General office supplies
EXP100116,08/01/2025,Marketing,Consulting,54481.7,Consulting project expense
EXP100117,08/01/2025,HR,Consulting,48684.3,External consultant fee
EXP100118,08/01/2025,IT,Office Supplies,8130.15,Printer ink and paper
EXP100119,08/01/2025,Marketing,Salaries,118204.45,Monthly salary payment
EXP100120,08/01/2025,HR,Consulting,39592,Consultancy fee
EXP100121,08/01/2025,HR,Salaries,116981.55,Salary adjustment expense
EXP100122,08/01/2025,Finance,Consulting,53778.2,External consultant fee
EXP100123,08/01/2025,Operations,Consulting,60910.15,Consultancy fee
EXP100124,08/01/2025,Marketing,Consulting,54976.25,Consultancy fee
EXP100125,08/01/2025,HR,Office Supplies,9125.55,Stationery purchase
EXP100126,08/01/2025,Marketing,Office Supplies,6997.9,Stationery purchase
EXP100127,08/01/2025,HR,Consulting,45038,Advisory service payment
EXP100128,08/01/2025,HR,Office Supplies,6903.75,Stationery purchase
EXP100129,08/01/2025,Sales,Salaries,110847.8,Monthly salary payment
EXP100130,09/01/2025,Operations,Travel,23334.5,Business trip expense
EXP100131,09/01/2025,Marketing,Training,24106.6,Workshop expense
EXP100132,09/01/2025,Operations,Consulting,61318.95,Consulting project expense
EXP100133,09/01/2025,Marketing,Training,38941.35,Employee training session
EXP100134,09/01/2025,Marketing,Consulting,39908.75,Advisory service payment
EXP100135,09/01/2025,Sales,Consulting,45165.4,Advisory service payment
EXP100136,09/01/2025,HR,Consulting,61955.6,External consultant fee
EXP100137,09/01/2025,HR,Training,25933.95,Workshop expense
EXP100138,09/01/2025,HR,Travel,22707.65,Client visit travel
EXP100139,09/01/2025,HR,Travel,29753.15,International travel expense
EXP100140,09/01/2025,Marketing,Training,42424.55,Workshop expense
EXP100141,09/01/2025,Operations,Salaries,88076.1,Monthly salary payment
EXP100142,09/01/2025,Admin,Utilities,18030.25,Utility service cost
EXP100143,09/01/2025,Operations,Salaries,98277.9,Monthly salary payment
EXP100144,10/01/2025,Operations,Office Supplies,9584.05,Office furniture acquisition
EXP100145,10/01/2025,Sales,Office Supplies,9173.15,General office supplies
EXP100146,10/01/2025,HR,Office Supplies,3472.7,Printer ink and paper
EXP100147,10/01/2025,Operations,Travel,28358.4,Business trip expense
EXP100148,10/01/2025,Operations,Salaries,102187.05,Overtime payment
EXP100149,10/01/2025,HR,Office Supplies,3454.85,General office supplies
EXP100150,10/01/2025,Finance,Consulting,46464.25,Consultancy fee
EXP100151,10/01/2025,Finance,Travel,27585.25,Domestic travel cost
EXP100152,10/01/2025,Sales,Training,26370.05,Professional development training
EXP100153,10/01/2025,HR,Travel,25509.05,International travel expense
EXP100154,10/01/2025,Sales,Office Supplies,3561.95,Office furniture acquisition
EXP100155,10/01/2025,IT,Training,27025.25,Workshop expense
EXP100156,10/01/2025,Admin,Utilities,12208.35,Water bill payment
EXP100157,10/01/2025,Operations,Travel,27674.15,Business trip expense
EXP100158,10/01/2025,HR,Consulting,55601.7,Consulting project expense
EXP100159,10/01/2025,HR,Consulting,46434.15,External consultant fee
EXP100160,10/01/2025,Sales,Office Supplies,7004.2,Printer ink and paper
EXP100161,10/01/2025,IT,Software,31620.05,Software license fee
EXP100162,10/01/2025,IT,Utilities,13309.1,Internet service payment
EXP100163,10/01/2025,Sales,Consulting,57632.4,Consultancy fee
EXP100164,10/01/2025,Operations,Office Supplies,8378.65,General office supplies
EXP100165,11/01/2025,Finance,Salaries,128025.8,Salary adjustment expense
EXP100166,11/01/2025,Finance,Travel,29522.85,Domestic travel cost
EXP100167,11/01/2025,Finance,Travel,13146.7,International travel expense
EXP100168,11/01/2025,Finance,Salaries,109024.3,Monthly salary payment
EXP100169,11/01/2025,Operations,Consulting,44863.7,Advisory service payment
EXP100170,11/01/2025,Marketing,Marketing,16684.5,Marketing campaign expense
EXP100171,11/01/2025,Sales,Consulting,49350.35,Advisory service payment
EXP100172,11/01/2025,Admin,Salaries,93167.9,Bonus disbursement
EXP100173,11/01/2025,Operations,Salaries,125837.95,Monthly salary payment
EXP100174,11/01/2025,Sales,Travel,19349.4,Client visit travel
EXP100175,12/01/2025,Finance,Consulting,50494.15,Consulting project expense
EXP100176,12/01/2025,Admin,Office Supplies,7700.7,General office supplies
EXP100177,12/01/2025,IT,Consulting,69948.55,Consultancy fee
EXP100178,12/01/2025,Marketing,Consulting,53005.4,External consultant fee
EXP100179,12/01/2025,HR,Office Supplies,7465.15,Stationery purchase
EXP100180,12/01/2025,Sales,Travel,25036.55,Business trip expense
EXP100181,12/01/2025,IT,Utilities,23373.35,Internet service payment
EXP100182,12/01/2025,Finance,Travel,22633.8,International travel expense
EXP100183,12/01/2025,Marketing,Marketing,44719.5,Marketing campaign expense
EXP100184,12/01/2025,Marketing,Training,34789.3,Online course fee
EXP100185,12/01/2025,Operations,Travel,21154.7,Domestic travel cost
EXP100186,12/01/2025,HR,Salaries,101697.4,Overtime payment
EXP100187,12/01/2025,Sales,Office Supplies,6127.1,Office furniture acquisition
EXP100188,12/01/2025,Operations,Salaries,109440.45,Bonus disbursement
EXP100189,12/01/2025,IT,Office Supplies,5052.95,Printer ink and paper
EXP100190,12/01/2025,Admin,Travel,17829,Client visit travel
EXP100191,12/01/2025,Operations,Office Supplies,7914.9,Stationery purchase
EXP100192,12/01/2025,IT,Salaries,123051.95,Salary adjustment expense
EXP100193,12/01/2025,Operations,Travel,22348.2,Business trip expense
EXP100194,12/01/2025,Sales,Salaries,86877,Bonus disbursement
EXP100195,12/01/2025,HR,Training,26227.95,Online course fee
EXP100196,12/01/2025,Marketing,Training,15923.95,Workshop expense
EXP100197,13/01/2025,Sales,Office Supplies,6965.35,General office supplies
EXP100198,13/01/2025,Operations,Salaries,105431.2,Overtime payment
EXP100199,13/01/2025,HR,Training,18074.35,Workshop expense
EXP100200,13/01/2025,Admin,Utilities,8337.7,Internet service payment
EXP100201,13/01/2025,Sales,Travel,17804.85,Client visit travel
EXP100202,13/01/2025,Finance,Travel,20224.05,Business trip expense
EXP100203,13/01/2025,HR,Travel,21214.9,Client visit travel
EXP100204,13/01/2025,Sales,Office Supplies,6618.5,Office furniture acquisition
EXP100205,13/01/2025,Operations,Salaries,105698.95,Overtime payment
EXP100206,13/01/2025,IT,Salaries,115745.35,Salary adjustment expense
EXP100207,13/01/2025,HR,Office Supplies,4487,Stationery purchase
EXP100208,13/01/2025,Admin,Travel,15172.85,Domestic travel cost
EXP100209,13/01/2025,Finance,Salaries,99338.75,Overtime payment
EXP100210,13/01/2025,Admin,Salaries,83429.85,Salary adjustment expense
EXP100211,13/01/2025,Admin,Consulting,54492.9,Advisory service payment
EXP100212,13/01/2025,Marketing,Office Supplies,10190.6,Office furniture acquisition
EXP100213,13/01/2025,IT,Training,21577.15,Professional development training
EXP100214,14/01/2025,Marketing,Training,25097.1,Online course fee
EXP100215,14/01/2025,HR,Consulting,56516.95,Advisory service payment
EXP100216,14/01/2025,Admin,Consulting,58354.8,External consultant fee
EXP100217,14/01/2025,IT,Consulting,74089.4,Consulting project expense
EXP100218,14/01/2025,Finance,Consulting,40005.7,Consulting project expense
EXP100219,14/01/2025,IT,Consulting,56944.65,Advisory service payment
EXP100220,14/01/2025,Finance,Travel,21691.6,Business trip expense
EXP100221,14/01/2025,Operations,Consulting,45475.15,External consultant fee
EXP100222,14/01/2025,Marketing,Travel,22148,Client visit travel
EXP100223,14/01/2025,Operations,Utilities,10570.7,Internet service payment
EXP100224,14/01/2025,Finance,Travel,18101.65,International travel expense
EXP100225,14/01/2025,HR,Office Supplies,6338.15,General office supplies
EXP100226,14/01/2025,Admin,Office Supplies,7788.9,General office supplies
EXP100227,14/01/2025,IT,Salaries,115776.5,Bonus disbursement
EXP100228,14/01/2025,HR,Consulting,53936.05,Consultancy fee
EXP100229,15/01/2025,Operations,Salaries,110499.2,Salary adjustment expense
EXP100230,15/01/2025,Operations,Utilities,17086.3,Electricity bill
EXP100231,15/01/2025,Sales,Travel,20771.45,Business trip expense
EXP100232,15/01/2025,Finance,Office Supplies,4583.6,General office supplies
EXP100233,15/01/2025,IT,Training,25397.75,Workshop expense
EXP100234,15/01/2025,IT,Consulting,71892.1,Consultancy fee
EXP100235,15/01/2025,Marketing,Marketing,31913.35,Branding and outreach
EXP100236,15/01/2025,Marketing,Consulting,13021.05,External consultant fee
EXP100237,15/01/2025,IT,Office Supplies,7562.8,Office furniture acquisition
EXP100238,15/01/2025,Finance,Consulting,59491.6,Advisory service payment
EXP100239,15/01/2025,Marketing,Travel,15158.85,Business trip expense
EXP100240,15/01/2025,Marketing,Marketing,38732.05,Social media promotion
EXP100241,15/01/2025,HR,Office Supplies,8182.3,Office furniture acquisition
EXP100242,15/01/2025,Marketing,Travel,14332.5,Business trip expense
EXP100243,15/01/2025,Marketing,Marketing,28100.45,Social media promotion
EXP100244,15/01/2025,IT,Office Supplies,5983.95,General office supplies
EXP100245,15/01/2025,HR,Salaries,136487.05,Overtime payment
EXP100246,15/01/2025,Finance,Travel,20961.5,Client visit travel
EXP100247,15/01/2025,Operations,Utilities,23278.5,Electricity bill
EXP100248,15/01/2025,Operations,Office Supplies,7214.9,Office furniture acquisition
EXP100249,15/01/2025,Sales,Consulting,21423.15,Consultancy fee
EXP100250,15/01/2025,Finance,Salaries,87518.9,Monthly salary payment
EXP100251,15/01/2025,Admin,Salaries,100268.7,Monthly salary payment
EXP100252,15/01/2025,IT,Utilities,10497.55,Electricity bill
EXP100253,15/01/2025,Finance,Salaries,138698.35,Salary adjustment expense
EXP100254,15/01/2025,Marketing,Salaries,135657.55,Bonus disbursement
EXP100255,15/01/2025,Marketing,Office Supplies,7317.1,General office supplies
EXP100256,15/01/2025,Finance,Office Supplies,6809.25,Printer ink and paper
EXP100257,15/01/2025,IT,Salaries,100232.65,Bonus disbursement
EXP100258,15/01/2025,Marketing,Marketing,46888.1,Social media promotion
EXP100259,15/01/2025,IT,Training,27698.65,Professional development training
EXP100260,15/01/2025,HR,Salaries,109814.25,Bonus disbursement
EXP100261,16/01/2025,Marketing,Travel,28399,Domestic travel cost
EXP100262,16/01/2025,Finance,Consulting,50589.7,Advisory service payment
EXP100263,16/01/2025,IT,Consulting,35329.35,Consulting project expense
EXP100264,16/01/2025,Finance,Office Supplies,7874.3,Office furniture acquisition
EXP100265,16/01/2025,IT,Office Supplies,6618.5,General office supplies
EXP100266,16/01/2025,Admin,Office Supplies,3288.6,Printer ink and paper
EXP100267,16/01/2025,Operations,Consulting,26135.9,External consultant fee
EXP100268,16/01/2025,Admin,Salaries,86969.75,Monthly salary payment
EXP100269,16/01/2025,IT,Office Supplies,5605.25,Printer ink and paper
EXP100270,16/01/2025,Admin,Salaries,76995.1,Bonus disbursement
EXP100271,16/01/2025,Admin,Utilities,12381.6,Electricity bill
EXP100272,16/01/2025,Operations,Utilities,17623.55,Water bill payment
EXP100273,16/01/2025,Finance,Office Supplies,2950.5,Stationery purchase
EXP100274,16/01/2025,Admin,Travel,17511.55,International travel expense
EXP100275,16/01/2025,HR,Office Supplies,7239.4,Office furniture acquisition
EXP100276,16/01/2025,Sales,Training,25961.95,Online course fee
EXP100277,16/01/2025,Sales,Office Supplies,8341.9,Stationery purchase
EXP100278,16/01/2025,Operations,Travel,25950.4,Business trip expense
EXP100279,16/01/2025,Operations,Consulting,28474.6,Advisory service payment
EXP100280,16/01/2025,Operations,Travel,16552.9,International travel expense
EXP100281,17/01/2025,HR,Travel,15965.25,Business trip expense
EXP100282,17/01/2025,Admin,Office Supplies,8008.35,Printer ink and paper
EXP100283,17/01/2025,Marketing,Training,21220.15,Employee training session
EXP100284,17/01/2025,Operations,Utilities,15719.9,Utility service cost
EXP100285,17/01/2025,HR,Travel,22087.1,Business trip expense
EXP100286,17/01/2025,Sales,Salaries,101599.05,Overtime payment
EXP100287,17/01/2025,IT,Software,25373.6,Cloud subscription cost
EXP100288,17/01/2025,Finance,Office Supplies,6532.4,Printer ink and paper
EXP100289,17/01/2025,Finance,Office Supplies,7863.8,Printer ink and paper
EXP100290,17/01/2025,Operations,Salaries,94344.6,Bonus disbursement
EXP100291,17/01/2025,Operations,Office Supplies,7735.35,Stationery purchase
EXP100292,17/01/2025,Finance,Salaries,120368.5,Bonus disbursement
EXP100293,17/01/2025,Sales,Office Supplies,5725.3,General office supplies
EXP100294,17/01/2025,Finance,Travel,23995.3,Client visit travel
EXP100295,17/01/2025,Admin,Salaries,113576.4,Salary adjustment expense
EXP100296,17/01/2025,IT,Utilities,14717.5,Internet service payment
EXP100297,17/01/2025,HR,Salaries,83818,Salary adjustment expense
EXP100298,17/01/2025,Marketing,Salaries,96660.2,Overtime payment
EXP100299,17/01/2025,Finance,Travel,20688.85,Business trip expense
EXP100300,17/01/2025,Sales,Training,23251.55,Employee training session
EXP100301,17/01/2025,Operations,Office Supplies,6131.65,General office supplies
EXP100302,17/01/2025,HR,Travel,20658.05,International travel expense
EXP100303,17/01/2025,Admin,Utilities,13866.65,Electricity bill
EXP100304,17/01/2025,Sales,Office Supplies,11447.45,General office supplies
EXP100305,17/01/2025,Sales,Consulting,59194.1,Advisory service payment
EXP100306,17/01/2025,Finance,Consulting,45500.7,Advisory service payment
EXP100307,17/01/2025,Sales,Office Supplies,6788.6,Printer ink and paper
EXP100308,17/01/2025,Admin,Office Supplies,9577.05,General office supplies
EXP100309,17/01/2025,Marketing,Office Supplies,8571.5,Office furniture acquisition
EXP100310,18/01/2025,Finance,Office Supplies,8695.05,Office furniture acquisition
EXP100311,18/01/2025,Marketing,Travel,19247.55,Business trip expense
EXP100312,18/01/2025,Operations,Travel,20951,International travel expense
EXP100313,18/01/2025,IT,Utilities,19664.4,Internet service payment
EXP100314,18/01/2025,Finance,Consulting,63792.05,Consultancy fee
EXP100315,18/01/2025,Marketing,Travel,11730.6,Client visit travel
EXP100316,18/01/2025,Finance,Travel,18518.5,Domestic travel cost
EXP100317,18/01/2025,HR,Travel,26644.8,Client visit travel
EXP100318,18/01/2025,Finance,Consulting,47173,Consultancy fee
EXP100319,18/01/2025,Admin,Utilities,10801.7,Water bill payment
EXP100320,18/01/2025,Operations,Travel,19779.2,Client visit travel
EXP100321,18/01/2025,HR,Salaries,83694.8,Salary adjustment expense
EXP100322,18/01/2025,Finance,Salaries,115274.25,Salary adjustment expense
EXP100323,18/01/2025,Admin,Travel,16415.35,Business trip expense
EXP100324,18/01/2025,Sales,Salaries,84816.2,Monthly salary payment
EXP100325,18/01/2025,Operations,Salaries,89743.85,Monthly salary payment
EXP100326,18/01/2025,HR,Salaries,107612.75,Salary adjustment expense
EXP100327,18/01/2025,Sales,Consulting,61055.05,Advisory service payment
EXP100328,18/01/2025,IT,Office Supplies,6297.9,Stationery purchase
EXP100329,19/01/2025,Admin,Salaries,94951.5,Bonus disbursement
EXP100330,19/01/2025,Operations,Consulting,49232.75,External consultant fee
EXP100331,19/01/2025,IT,Software,28167.3,Cloud subscription cost
EXP100332,19/01/2025,Admin,Salaries,91660.1,Overtime payment
EXP100333,19/01/2025,Finance,Consulting,21841.05,Consultancy fee
EXP100334,19/01/2025,Sales,Consulting,44547.3,Consultancy fee
EXP100335,19/01/2025,Marketing,Office Supplies,6998.95,Printer ink and paper
EXP100336,19/01/2025,Sales,Travel,27249.6,Client visit travel
EXP100337,19/01/2025,HR,Consulting,76109.25,External consultant fee
EXP100338,19/01/2025,Operations,Office Supplies,4163.25,Office furniture acquisition
EXP100339,19/01/2025,Admin,Consulting,50887.55,External consultant fee
EXP100340,19/01/2025,Marketing,Travel,18709.6,Client visit travel
EXP100341,19/01/2025,Marketing,Travel,20478.5,International travel expense
EXP100342,20/01/2025,HR,Training,25863.6,Professional development training
EXP100343,20/01/2025,Sales,Consulting,27956.6,Advisory service payment
EXP100344,20/01/2025,Sales,Office Supplies,7243.95,Stationery purchase
EXP100345,20/01/2025,Finance,Consulting,54225.15,Consultancy fee
EXP100346,20/01/2025,HR,Office Supplies,7660.1,General office supplies
EXP100347,20/01/2025,IT,Office Supplies,7603.4,Printer ink and paper
EXP100348,20/01/2025,Operations,Salaries,107607.15,Salary adjustment expense
EXP100349,20/01/2025,Admin,Utilities,16412.9,Utility service cost
EXP100350,20/01/2025,Finance,Office Supplies,4637.5,Office furniture acquisition
EXP100351,20/01/2025,Finance,Consulting,64434.65,Consulting project expense
EXP100352,20/01/2025,Marketing,Office Supplies,6947.5,General office supplies
EXP100353,20/01/2025,HR,Office Supplies,6367.2,Printer ink and paper
EXP100354,20/01/2025,Finance,Travel,12803.7,Domestic travel cost
EXP100355,20/01/2025,Admin,Consulting,57554.7,Advisory service payment
EXP100356,20/01/2025,IT,Training,20763.75,Professional development training
EXP100357,20/01/2025,Marketing,Consulting,64582.7,External consultant fee
EXP100358,20/01/2025,Sales,Consulting,49709.45,Consulting project expense
EXP100359,20/01/2025,Sales,Training,28974.05,Online course fee
EXP100360,20/01/2025,Finance,Travel,21319.2,Client visit travel
EXP100361,20/01/2025,Finance,Salaries,101671.5,Salary adjustment expense
EXP100362,20/01/2025,IT,Salaries,114740.15,Overtime payment
EXP100363,21/01/2025,Admin,Consulting,35318.5,Consultancy fee
EXP100364,21/01/2025,Marketing,Salaries,102082.4,Overtime payment
EXP100365,21/01/2025,Finance,Travel,15170.4,Client visit travel
EXP100366,21/01/2025,Marketing,Office Supplies,8054.2,Office furniture acquisition
EXP100367,21/01/2025,Operations,Consulting,57958.25,External consultant fee
EXP100368,21/01/2025,IT,Training,22039.85,Professional development training
EXP100369,21/01/2025,Marketing,Salaries,81863.25,Overtime payment
EXP100370,21/01/2025,Marketing,Salaries,107760.8,Overtime payment
EXP100371,21/01/2025,Sales,Office Supplies,3525.2,General office supplies
EXP100372,21/01/2025,Finance,Office Supplies,3789.1,General office supplies
EXP100373,21/01/2025,Operations,Salaries,119295.05,Monthly salary payment
EXP100374,21/01/2025,Operations,Utilities,13214.6,Utility service cost
EXP100375,21/01/2025,Marketing,Office Supplies,6273.05,Stationery purchase
EXP100376,21/01/2025,Finance,Office Supplies,8469.65,Office furniture acquisition
EXP100377,21/01/2025,Operations,Salaries,81231.85,Bonus disbursement
EXP100378,21/01/2025,Finance,Salaries,90582.8,Salary adjustment expense
EXP100379,21/01/2025,Admin,Office Supplies,7654.15,General office supplies
EXP100380,21/01/2025,Operations,Salaries,109793.6,Monthly salary payment
EXP100381,21/01/2025,Finance,Salaries,106086.05,Overtime payment
EXP100382,21/01/2025,HR,Travel,17895.5,International travel expense
EXP100383,22/01/2025,Marketing,Consulting,44937.9,Consultancy fee
EXP100384,22/01/2025,HR,Office Supplies,6898.5,Printer ink and paper
EXP100385,22/01/2025,Marketing,Consulting,58768.15,Consultancy fee
EXP100386,22/01/2025,IT,Office Supplies,5229,Stationery purchase
EXP100387,22/01/2025,Finance,Salaries,84246.4,Overtime payment
EXP100388,22/01/2025,Finance,Travel,22189.65,Business trip expense
EXP100389,22/01/2025,Admin,Consulting,61127.15,Consultancy fee
EXP100390,22/01/2025,IT,Consulting,57948.45,External consultant fee
EXP100391,22/01/2025,HR,Office Supplies,7841.4,Stationery purchase
EXP100392,22/01/2025,IT,Office Supplies,11095.35,General office supplies
EXP100393,22/01/2025,HR,Training,21214.55,Employee training session
EXP100394,22/01/2025,HR,Consulting,59487.4,Consulting project expense
EXP100395,22/01/2025,Operations,Utilities,14586.6,Water bill payment
EXP100396,22/01/2025,Operations,Office Supplies,4218.9,Printer ink and paper
EXP100397,22/01/2025,Admin,Utilities,13768.3,Utility service cost
EXP100398,23/01/2025,Finance,Office Supplies,7973,General office supplies
EXP100399,23/01/2025,IT,Consulting,62316.45,External consultant fee
EXP100400,23/01/2025,Operations,Travel,19307.75,Business trip expense
EXP100401,23/01/2025,HR,Office Supplies,6714.75,Printer ink and paper
EXP100402,23/01/2025,Operations,Office Supplies,10151.05,General office supplies
